TYPE	NHEJ	MMEJ
f7b847e5-0f5d-69b4-e040-11ac0c4845fe	0	3
f7b84b5d-8f28-e6b7-e040-11ac0c484704	2	2
f7b84bac-f161-9eee-e040-11ac0c4847ed	1	2
f7b84c09-15d4-3046-e040-11ac0c4847ff	0	1
f7c6486a-bb08-f77a-e040-11ac0c482953	2	3
f7c6a336-3126-7580-e040-11ac0c485971	1	0
f7c7373c-1972-4968-e040-11ac0d486e80	0	0
f7d128d2-3964-e3bc-e040-11ac0d481667	0	2
f7d70fac-c76f-399e-e040-11ac0c482f9c	2	2
f7d77a03-28a0-f446-e040-11ac0c4866fb	0	2
f7d7b3db-02af-61cb-e040-11ac0c480c03	2	0
f7e7b258-b4b2-e6c5-e040-11ac0d486773	2	6
f7e7d61f-e2dc-b523-e040-11ac0c482000	8	8
f7ed28a6-8f5f-e87b-e040-11ac0c48120e	2	3
f7f3e156-0dde-72b9-e040-11ac0d48542c	1	3
f7f66114-e321-1d4c-e040-11ac0d48541a	1	1
f7f6619b-fae8-3381-e040-11ac0c483f78	2	1
f7fdda4f-7bf7-ede7-e040-11ac0c486e57	1	2
f80293b8-ddb7-f575-e040-11ac0d48309d	2	4
f809247c-2bab-ab06-e040-11ac0d482b8a	2	0
fc8130df-18fe-c74d-e040-11ac0d485df2	1	3
fc8130df-1bc2-c537-e040-11ac0d485de6	0	7
fc8130df-1cdd-cade-e040-11ac0d485dec	1	2
fc8130df-1e8f-c879-e040-11ac0d485df4	0	3
fc8130df-1f21-c8f9-e040-11ac0d485dfc	3	3
fc8130df-24d9-32f1-e040-11ac0d485df0	1	2
fc8130df-2628-304a-e040-11ac0d485dfa	1	3
fc8130df-297f-34a3-e040-11ac0d485e02	1	1
fc8130df-2ca4-39d2-e040-11ac0d485e00	2	2
fc8130df-2d5f-3b53-e040-11ac0d485dee	0	2
fc8130df-2e39-3814-e040-11ac0d485de0	1	2
fc8130df-3147-3e94-e040-11ac0d485df8	2	2
fc8130df-3225-3f96-e040-11ac0d485dfe	2	1
fc8130df-3361-3c8a-e040-11ac0d485dea	1	5
fc8130df-34f8-22c6-e040-11ac0d485de8	4	3
fc8130df-35ac-2304-e040-11ac0d485dda	8	19
fc8130df-68fd-76ee-e040-11ac0d485df6	0	1
fc8130df-6977-7704-e040-11ac0d485de4	0	4
fc8130df-6bec-7627-e040-11ac0d485e04	6	23
fc8130df-897d-5404-e040-11ac0d485e0a	1	3
fc8130df-8e4e-586b-e040-11ac0d485e08	0	3
fc8130df-8ec8-5b1e-e040-11ac0d485e06	12	58
fc8130df-e399-e34d-e040-11ac0c483279	2	0
fc8130e0-08dd-b996-e040-11ac0c48327b	5	6
fc8130e0-095f-b953-e040-11ac0c483287	1	1
fc8130e0-096a-b991-e040-11ac0c48327d	3	5
fc8130e0-09f1-b964-e040-11ac0c48326e	0	1
fc8130e0-0b9c-bbc9-e040-11ac0c483266	4	1
fc8130e0-0bc1-bba7-e040-11ac0c483289	2	2
fc8130e0-0bfa-bba4-e040-11ac0c48328d	3	3
fc8130e0-0c53-b432-e040-11ac0c483283	0	0
fc8130e0-0d25-b475-e040-11ac0c483277	0	0
fc8130e0-0db6-b568-e040-11ac0c483281	3	0
fc8130e0-0dcf-b558-e040-11ac0c483285	0	2
fc8130e0-0e1f-b54d-e040-11ac0c48326c	1	4
fc8130e0-0f1a-b6eb-e040-11ac0c48328f	7	18
fc8130e0-0fde-b756-e040-11ac0c48328b	0	4
fc8130e0-a39a-23b5-e040-11ac0c483270	0	1
fc8130e0-a538-dda3-e040-11ac0c483264	5	4
fc8130e0-a539-dda8-e040-11ac0c48326a	1	5
fc8130e0-a774-d834-e040-11ac0c483268	4	10
fc8130e0-a8b4-d80d-e040-11ac0c483272	1	1
fc8130e0-a94d-d9d0-e040-11ac0c483262	1	1
fc8130e0-ad63-b804-e040-11ac0d485e10	2	3
fc8130e0-ad66-b82e-e040-11ac0d485e0e	8	9
fc8130e0-ad8a-b832-e040-11ac0d485e14	0	4
fc8130e0-aed2-bb2f-e040-11ac0d485e12	1	4
fc8130e2-f2ef-d096-e040-11ac0c483293	4	8
fc8130e3-023d-c7d4-e040-11ac0c483295	2	5
fc8130e5-18b8-ef38-e040-11ac0c483297	2	2
fc81312a-99ae-7672-e040-11ac0c4832a2	2	0
fc81312a-d451-38fb-e040-11ac0c4832a4	0	0
