TYPE	NHEJ	MMEJ
005794f1-5a87-45b5-9811-83ddf6924568	5	14
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	22	12
03deff56-b3b4-4d3d-94df-b2db40aacb64	4	3
04db8bef-8777-48ac-bc2e-3c9acb103f48	6	12
1158714d-4714-45f9-8557-3cd98165e769	8	13
141918cd-3e23-45bc-96e1-b208c80f69e7	12	6
15a93657-0521-430a-a816-bf0842374b75	6	5
1c7bc5f2-1b4d-48c8-a3a6-47db19118ffb	8	7
29548b5f-c88a-4908-8c46-e86483e75067	3	2
3232f77f-b745-4232-a802-6699b6356efd	14	14
33bf46dd-16b3-49c6-80d7-76caf27aa0f4	5	11
39cb041f-e668-4c68-9386-73191fd6260f	10	16
3afae3fb-2d87-4724-a589-d31cce1f4c28	7	7
3afb3f57-545a-4ed5-9461-2fcb28d89399	14	10
45348eff-4b09-4776-825e-b18de9dba937	5	5
494701ce-05d4-440b-a65e-d925902b9d42	7	4
4b066ffa-bf77-48dd-9932-857bff63091a	3	8
4edcdcec-f837-4620-8e02-5f638ce21e6c	3	4
50203cff-83f8-4884-8346-b91ef717d00e	1	2
50515723-b495-42a9-8750-e3da288bf6a3	4	4
50a5970d-a0cb-4251-8ab0-74ad0e94be9a	10	17
51e5a835-eb48-4640-87d0-f40f5e2bff18	11	16
558cb14a-a3b9-488d-ae53-3ef2e215c786	9	4
5f60b0a0-03cc-4923-a7f3-d16e101a0876	8	14
603594e3-e427-494c-b9ee-e872d6629563	9	5
675a5a32-b405-4f03-bfcd-756343d1dfaf	10	6
69a62b04-1795-438f-8dca-518e11c9d2d4	17	20
6bd4bca3-e568-4d1b-8b42-401fdf13d751	17	8
6c68f466-273a-48e3-ba6e-e2f2bcc07c73	5	6
72a27124-24b9-41f7-a065-774fdf5f7d19	7	3
741c4656-0fd0-416e-86c8-f6533b6c96f4	9	19
79fa8423-2014-4536-a1f9-cb48aed3c45f	7	3
7bd3d112-d411-4ea8-a9a9-bd965f0fc943	7	4
812a2495-874b-4fbd-89da-bf3801ab9a34	3	4
8489389f-960e-45c5-9eb6-4accf84b0d68	2	0
85422a8e-2599-4dab-a257-150e380ecba8	1	1
87e0b332-60f3-4d59-8c4e-691a820c9ee1	17	23
8fa0484b-5f95-4ec8-b3de-cea2e8f3c5ca	5	11
8fc7a4cc-c25d-4372-bf17-2dae795e5596	2	4
959efb81-1d56-4659-9b7a-09f2b62483f2	11	9
97ccf5d4-b285-40ca-b5b1-4f7d35d64516	11	23
9a015939-8810-4808-9dfa-fb60a1173bc7	7	2
9a3c3edb-82fa-4b4e-aa85-a4298362d99a	7	16
a0eb2611-1ca6-44b7-897e-ce18399eb7bc	8	5
a335b03d-41ac-4d41-a2a9-3134b5b0a0a7	10	5
a78b5788-67ea-4275-931c-421bf76c5a4c	7	5
a89a2341-263d-4e7f-87fa-18d9692d6b2b	14	9
ab39aec4-002b-4ed7-b1fe-09e420210145	5	3
ac66ef9c-c350-4424-aec2-c4d5c0b1954a	1	5
b28f7607-f162-425f-b44d-64e9633c8824	2	1
b30dfb8b-8288-4e5a-afc2-3d5bd7bfa26c	9	2
b7fbd99c-dea0-4448-a430-7f94c611e702	5	9
b9d2e29e-8546-4310-aeea-e029f17c0516	0	3
ba67c02a-180b-43f3-b53c-2b77d84fbe3c	10	5
bb567851-d4ff-4a93-8576-04a37aea68af	6	3
bb659e7c-0b97-41b5-ac10-a66bb1f6f283	14	17
c19a1388-95e6-4708-a24c-3738f1908071	7	8
c5bc0826-8037-4fe6-ad4e-b1b675e771fb	1	2
c8f64a71-e545-4eb6-9da3-2d43ae0c2627	8	11
cdf045a6-ab6a-4dc5-b0b0-d72fbb26b0bb	4	7
d2ab7fd4-d1c7-48ae-ba9a-78c5d811465e	11	8
d4c6061b-5019-4564-806d-4e75910a4690	15	19
d5c87d16-172f-4790-8867-949dcaa534d4	11	13
db4d1d04-1189-4c0e-99a7-904667af07b5	4	3
deb0de92-a46b-4e71-814c-2f6c5e97dbcd	0	1
decfb419-63b3-47b0-9dfc-baae180566a0	2	3
ebe80d6c-7513-4f5e-9919-669b6d1fa68c	9	8
effb868c-f905-41a0-ace1-b5e508732534	7	15
f269134a-e3d5-4020-bcf5-01fb42f914b2	0	2
f339a163-c9dd-437f-9841-46b89e06df4e	14	7
f37971bd-ec65-4840-8d4f-678692cee695	6	8
f6e758a5-150f-4424-90b7-1c1a34aec9a3	7	9
f7aa3437-682a-456b-95dc-91de9d30eb75	5	11
f9a81200-5381-496a-8062-099f9e793618	10	12
fec30898-f86b-4207-aa78-de77142c8f50	0	2
ff2226b5-5b99-4b73-a6f0-881bb22ef4c7	6	5
