TYPE	NHEJ	MMEJ
05486349-24a4-4931-bf5f-c9fefe369af2	2	24
080ecc31-756a-4a1b-a51e-d632ac8219f7	2	27
10ad692b-4c3d-42de-9b5e-4968441388b3	0	41
18dd42d7-2d84-400e-9adb-a38faa916a9e	2	3
2cdc4cce-0877-4ec1-85f5-20c909912e65	5	6
31f02f48-44a4-445e-ac3d-e9bf3d8d25a2	2	1
3c019b2f-52ec-40a8-99b5-98c1423ce627	1	4
4019c219-c51e-479f-8a9d-cfa6816ed696	1	8
492b4e58-12e2-47b2-bd47-28f8607072fa	2	45
4cfb0aee-6661-478a-8694-9d8ba15e46b7	3	19
55345803-83d4-4fdb-b0ee-328753801da1	1	23
6051f40a-99e5-4461-9255-0e70d757b4d5	0	2
66701395-5a53-41bb-866b-3bbf08bc33ab	0	5
75ad15b9-8f9c-40c1-9ca6-1e8454fbd310	5	3
85e29049-a5e8-49fa-a576-e113c7b2c2e3	0	4
8a929c55-35a6-4645-bb70-4b85d281b139	3	19
9e5f0a23-e184-4611-b42b-e882dcf23acd	4	8
a0f94565-9169-49ee-8e6a-21bdc43d9de6	2	3
a64000df-16e5-4b88-865f-5c680adf60eb	2	5
b7f2e85a-3c6a-48b7-8a4f-2dec1d85359d	0	4
d0a0d845-32e2-4590-b909-29bd27b92900	3	23
d3aff5d3-23c0-43ae-9c01-8ddd776b530b	0	63
d3daf373-1485-455e-a0a1-8e33d215d623	0	6
d9690a27-bb02-498e-b15c-ee76e31d16ee	0	7
e3ef5cad-4d6e-4f04-babb-a908ee02644b	1	21
f38b5d2e-5cab-45c7-bb0a-38b2efc5c156	0	2
fc453f67-6623-4e8c-b519-0bd79e4d4651	1	6
