TYPE	NHEJ	MMEJ
02e5c36f-5bec-45e2-a048-875653b85ca1	3	6
046d7386-95c8-4501-9e55-c85bec272a7a	2	1
05070acd-3ec1-44bb-9c32-26d3a483a72a	1	5
0554ffe5-31f7-43f5-8372-2b73c9cf3527	1	4
0fbd94b1-bb34-4620-841b-861a0b5e0c12	5	5
12f038e1-00af-4c64-a2e0-9e63323492ef	0	5
1447c8cb-25d4-4092-8919-4df08f898d2d	1	6
1a841850-fca0-48ab-8c78-db0bd5a64435	5	2
1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	4	1
1c9fbe26-1447-4335-aaab-06d6bb3e2741	1	4
1f81a1b0-8089-44ef-87b5-b3359a407ad2	4	1
20d1b88b-3ff6-4201-a748-6a993500c652	2	2
2102558b-87b0-447b-bb9a-e4ae9df8b75e	5	7
21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35	5	5
241abdfd-e6de-4830-a233-4bbc5f622725	1	8
2b6d4d66-7f0b-4bc0-b3d6-171956a937c5	0	2
33061bf5-9b99-4735-a810-f2d5eeef6873	2	4
33070975-0f35-4518-9ffb-4c6170c32534	2	3
394c1907-a040-4fcb-8e49-545c715e711d	0	18
3a2eb1b9-d959-444a-9453-25f44c1f26cd	3	6
3b526846-72d6-4e10-b7cd-8cdb45a92a1c	9	55
3bfbc33d-804b-4bb3-97ac-97563d77b13d	2	8
3c86ba21-7b11-4ec7-9d20-a2325197c676	4	7
3e4d0e50-8cf4-4eb0-a00a-ccf0484ecc2f	3	9
4cbe411b-b05e-46bd-bea8-126289a0866c	2	6
4db9e471-0068-4ec6-9bcb-33ef5fdec33e	0	6
51458c86-0fdd-470e-b059-1ffbffc92a7f	0	4
5255d645-d3d2-422e-8449-046cd21f4935	4	9
53534b3c-cd15-4d68-a9b1-6902bb234c45	7	113
541f91bd-7e9d-4348-9e78-45b948d8967e	3	8
5b41e033-6df8-411e-a13b-59eeb8afbf9b	5	6
60aff7a0-4960-4ed1-922b-3233ccbfdba1	1	2
60e78c80-41a5-456a-9a81-9007d18fd72c	1	5
654dba9f-cfe5-4121-97c7-868613cdef53	1	6
68ba1105-569a-4209-9b45-0e2d64931806	4	3
6bdf00f6-670f-466e-87fb-e853e41f000e	10	6
71ef8379-03a0-4b81-92c9-1ba666fe4d7a	3	5
72a5e569-99d4-47bc-be1b-6296a5025080	1	3
748d3ff3-8699-4519-8e0f-26b6a0581bff	3	3
75fac59c-3346-4c5a-bb9f-fb67fec8d13b	0	4
78100212-65aa-4365-8b64-4b33f77732d5	0	8
7f42e118-aab6-438a-9e84-e7451fe12d7e	2	4
7fcd8af9-4d73-4c97-95cc-b30b09f21bb2	2	3
8454fe53-869d-41c8-b0c8-a7929d00eec3	10	14
84a6ea88-eeb8-4060-a90c-e4abac013ad4	4	25
88bc38ba-ad1d-431e-a67e-0a5a23678386	0	5
88d5a8b2-daba-45ce-90bf-480fac85bf1d	1	9
8c399a6e-05b9-4ca6-a05e-61e9f373add7	2	2
8d67c121-37d0-4fc0-a349-2c9452589d65	1	4
90b3c237-29a4-48b3-90b3-9f2c0ccb5928	3	9
92dc0e0c-842f-40de-9c39-486b491ea80a	1	7
9c399826-087f-44b9-98c0-bd881646b0f4	1	0
9c857452-c81d-4b9e-87a8-5b41f4394f7c	1	6
9df57388-7de1-4c90-910e-ef63a246dff1	3	2
9ebac79d-8b38-4469-837e-b834725fe6d5	2	5
a2238b5f-0513-487a-9b1b-7bef85ebf336	1	13
a3edc9cc-f54a-4459-a5d0-097879c811e5	0	10
a492a32b-bf2f-4f8c-b06e-794a4baa2fe7	1	4
a5346247-3f30-470a-b4ab-732180786291	3	3
a5d5c238-0447-47fa-9a81-3b823cbdcea6	0	3
b47aa163-eec9-4225-940b-4373e78152e2	3	5
b5dd0bc9-6c1c-4272-b920-744de37d0aee	10	1
b7008a98-5aa0-4cc9-9bee-af2a422266db	4	10
bb8176a7-ea7c-42d7-a85a-cec1ca386f2e	0	3
bbbc531a-dd41-40b7-ae59-e35508aea0c7	1	0
c42c8cf4-4c91-4b0c-9903-3951d6f1a2b7	3	1
cafe9603-a804-48fb-9217-e2d1c3c346c5	2	3
cf072bfe-3191-4a71-9e0b-decaa28365e1	2	3
cfe0bf13-2ff4-4164-9b6a-cd3615bf3ddc	0	7
d4907a1b-8b06-47c5-8bca-c781d9cddaf8	2	4
d91f487e-0895-44ef-aeb1-a62bd576f8b0	2	3
dc856038-f5f7-4dfc-a0a4-3e3a6b8d160f	4	1
dd4fdb6a-8067-4b64-ab74-bbb0fec34ca9	2	0
e0aa815f-668a-4de9-bb32-3f215bb7f843	2	5
e97ea3d7-9fcd-4df1-9ea8-587cb3be75ec	0	2
ec646623-6d33-4fbd-888e-89f55d82eb11	0	7
edac1323-2497-45e6-9148-e9c955292ba2	1	0
ee8ba991-8c96-476e-b096-49f3aaaffc2f	2	1
ef3a0ccd-85bc-4e5f-a8c6-5a2e2d9e6717	2	14
f1d9124e-dfa2-415e-b8b8-dd872fd3e2cb	1	3
f4e926fd-006e-4c85-b71c-1433c325acb0	0	5
f5bb7ae4-4bb4-4e87-b83c-bc8620584989	1	3
f7702c0c-9636-4700-a8ae-7a58afd9fa71	3	7
fa54205f-7e51-4e5a-9f0a-5e8a2e40235f	6	4
fbea74b5-b1a8-4767-af7c-e179ce8da071	0	3
