TYPE	NHEJ	MMEJ
0009b464-b376-4fbc-8a56-da538269a02f	6	13
01df36af-3617-40fc-9892-f54ce433cf71	1	2
09508a0d-ebe0-4fa1-b7b2-1710814181cd	9	13
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	17	61
0ead45d8-d785-4404-8319-2ef951e02e03	14	46
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	3	15
12874085-a596-41ae-b4cd-817cb1ebb278	2	5
1659bae5-3140-4d05-891c-81b48277b2fc	0	8
2087f284-ddc9-4239-9ec6-b1b8b5a8474f	5	49
25f73b03-4ba8-47ba-ad80-6ccb82105c98	5	5
2a8d63eb-0174-4213-9214-413f391f512c	4	4
37522f18-77b2-4414-8df8-3c2c8048adba	0	8
3a6bce45-0431-49d8-82df-b1d9a738e5a6	2	9
3c2b1509-1eb9-4b79-9569-57810f291499	2	14
4679f37a-4f09-449b-a1d8-1f02847996da	7	60
4e913899-eeb8-4630-ba9d-41a81ced8069	3	3
504cdfc5-6721-43ef-b31e-fdf52f0cd9cd	1	4
53bcbb68-addd-47fc-9910-cd1d3f38197d	5	9
5b560f4c-d2a3-43fa-b394-abef78bdefc1	0	6
5d922e48-aa70-454d-9417-c9af686feebc	0	6
669f0e01-28f6-4ed8-bdb5-73f84ea28f78	12	26
6821446e-8e76-46fe-b0b9-47feb46d2585	3	5
6c31d730-1734-44ac-92b3-760981528723	6	6
6ce42746-88aa-485f-a1c4-1759aad95914	2	1
6fffe0cf-bb38-4e77-88ab-a256bd7fbbce	8	51
745b8756-0eab-423f-8cde-e0ff1aaa6596	0	3
7fdd07a4-4a27-40c3-af92-a0074e6391f5	3	3
86f23897-dba0-4e89-8381-d174eaa6fcc1	4	13
89dad92e-5b3f-479a-a6da-a94ee7df7f8a	2	4
8b28f6d2-4b7d-493b-826e-b119a4fb0cb4	3	20
8da81c05-9cf2-435f-a67a-9cf15a96a2ca	3	6
941fcb56-e059-403d-aab1-0692a3ecc45e	2	4
9aecfc8f-62ea-4acf-aa00-d1f0fe6c6556	1	0
9e6806c4-d331-4025-abee-2f576e3bf182	16	151
a3135834-3af0-4e98-bc6f-ad8ddf33db80	27	82
a330a96e-9897-4605-b5f1-5b5ef45cd365	2	10
acd510de-b732-4a1a-8b72-6d22e763540b	6	10
b75b2663-dcc6-411c-bfcc-574aa33cf388	4	43
b97941dd-9844-4db2-9e25-42c725f47d70	3	4
bbb2cf2f-8f32-43d4-846c-d1020e6329ec	3	8
c2ec7f57-8510-4bbf-a2e9-dbd9ce8dcad1	10	105
c767254e-b289-4904-a80f-050cf01ff8ba	20	114
cd9efdef-a7fb-49e5-9515-63606ae8bbfc	3	3
cf6c7066-6611-43ec-aef1-295a976cce5b	15	94
d2e4dc23-992d-4e44-add4-2972718083cb	8	36
d392ded3-afc8-4c79-b278-40245f18f2f8	2	5
d9e66fc5-9018-4568-b388-c5eb756f7823	10	46
dce54d09-9827-4fe2-abe1-c5b7d528ba7f	12	23
e45f3391-2e74-4767-817a-280cebac7c57	1	7
e4aaca83-3ae9-47f6-a975-c144767ad705	1	7
e6f7344b-951f-4f3f-b140-7bf53164c462	4	11
f1504811-8363-41e6-b43c-62452b1262d3	1	9
f26b1f44-12de-43ba-85bb-bc61741a5a88	15	36
f6189828-eeaa-4d21-b163-53bf3d47a640	5	37
f6c811ff-f22e-490b-9b23-b527d20e6e6d	6	26
f858d813-f3c5-4ad9-8c20-9f231d6624d8	8	34
