TYPE	NHEJ	MMEJ
03ced0ce-186a-4349-8d98-572c2bc90382	4	3
16d33e09-2e21-4da2-8e57-e78ce28c4408	2	11
18ec066e-8510-4921-9e35-45d85fb01e38	5	6
1c188bf5-2c99-4eb4-a774-59c75d53e643	4	7
3db6e6cc-1a06-49b9-834e-b6611cde4c4b	3	5
408ed640-75f6-4346-bdd0-3b93c51adae5	6	6
4d4eff82-ede0-47f1-b49a-ada025952114	2	2
522dc834-8367-4f49-b93b-fcba91a2de7e	1	4
56681386-d407-4f53-ae4f-6c04437652f7	2	3
63db50d6-5ef2-44d0-9906-26eae74ecf44	0	5
67bb70b2-b6f8-4aa9-80ce-48829f9fec56	2	8
6aa00162-6294-4ce7-b6b7-0c3452e24cd6	1	3
729229fe-92b9-439b-acd2-b49159116a41	0	2
72f0a49a-aec8-47e5-846a-956c4da1507c	3	8
7a5d3b6b-be5a-4e55-9255-32a069b8af3d	1	5
7d332cb1-ba25-47e4-8bf8-d25e14f40d59	4	13
7d734d06-f2b1-4924-a201-620ac8084c49	2	1
968929b0-6bfb-4a2c-bd4d-570bfcdb8a6a	1	4
9d691fa3-5c32-4b98-85c4-f6e0fd4c37e0	3	6
9e7b51fb-2249-451a-bf23-bb2a3d935928	2	7
a2f02ff7-8433-4cb5-9324-34f13edeaca1	2	3
afee5b10-3dff-4e50-9575-bc9fe20c5dea	2	3
c556f81b-8a6c-4bbb-876f-2e2ce570c185	2	2
cb5e1546-cda6-4991-911c-f3dd9f1a475a	4	5
cb783f8b-d092-4104-b809-3f90b19df7df	3	7
cdbbd701-9c05-4f9e-923d-06039dd8a04d	5	22
d53c2680-89ac-4f87-a7ba-f4c669546b76	1	2
d8f0becd-fda8-41f4-a424-e082f9eae22c	2	4
df4366c4-170f-4233-b577-a8ea277b069c	3	7
