TYPE	NHEJ	MMEJ
09497b9b-6fca-48cb-af97-161a3e434a51	3	5
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	10	16
134c9a92-e91e-4347-a9c4-727279edebb1	11	19
15e7d981-8c27-4b2b-b4f8-626e22021895	13	89
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	6	13
1f967003-82d6-4932-a445-24fc25723594	7	9
23fa90d5-b273-4e2c-9c88-68aa57b60e97	2	7
25c99312-bf63-4654-a73a-03c3c1cd50b6	2	2
27b56bf2-7a9d-4061-98d4-61fe2761578c	3	16
28e81540-4744-4865-b627-c7c9d8a3c2b8	1	1
293a2f0a-4846-4c7c-b8b1-bb741c8d3275	3	8
2b41746a-95c0-4875-afb5-c6d3d3ad30d9	12	19
2e69c886-535b-4ff0-9236-abf6799acdbd	1	9
31f3ff14-7d74-447c-a5da-9ad8336c3f3f	5	33
33992441-4f34-42f2-ba87-6ddd227f2250	3	31
35dc84c1-476c-4d48-ae23-622bf6e043ac	8	22
35eb6ecf-9514-4416-94b1-02200c0a1571	3	13
36680797-36de-413d-b2a1-8804ac1705e9	1	1
371235d9-55b8-40a7-8cd6-baa7c2ad0493	4	10
384ef419-ee94-4563-9237-236fddeb4b64	2	3
3a551616-4840-4111-a8c5-b4aa773d82c2	3	13
3b590d75-ccfb-4da8-a2e9-10fb07e02cea	3	17
3bb4c27b-4d0d-4d13-b910-41a9ebf95880	1	7
3da169e8-844a-4eee-b794-a2eb81db779a	1	8
3e6a17f9-c249-41b6-ba49-55aaa39d21c5	2	16
42629ae0-9410-4fac-8df1-2c276467deb5	3	10
4283773c-c04b-4f33-a398-f3566f6d293a	4	17
48a0da38-8147-40fe-b683-3f070413a792	3	28
526b3796-2cbd-4eec-8273-064b41456279	2	6
532bec86-b8d3-41a1-ba17-913a7d378f66	11	36
5fd632ea-085e-4e9b-8dcc-ec94e492d3bf	1	22
64623aaa-a274-4baa-8b71-958d9c8df733	16	96
6495e68e-1434-45d3-a03d-f286447dda79	3	9
69c3c88c-d51e-4e03-b96b-ec4f1a0faa2d	7	11
6a0d0c42-1884-4c6a-936a-678a822c0936	5	12
77c022d3-2f29-49d3-a1df-cc2e9407fd7f	5	16
7866dfb2-46b3-42b4-905b-12f80593d6bd	1	6
7a4f6014-f7a2-459b-bc43-df164e73cbba	1	16
7adcea71-1aed-450c-b0ff-b9d9820c6153	2	9
7c5c2293-3f40-4ae3-8346-6a327b2abf4d	6	19
7f94d650-41b9-4664-bcde-dc8533e4602d	5	27
8e48aa43-6cd1-4aef-83ce-2451b1b86e8e	5	21
8ff9b1b6-a498-47fe-a970-ab7cfb64e653	1	14
9258860c-a336-4075-996d-2ee0c18b281c	2	7
926a04de-ef57-4271-91db-e90de8aa8a1a	4	25
96a2896c-1e32-4827-a526-6b7104832f9a	3	15
9749a9a5-cb7f-4038-a5f9-5e2d6b97c689	2	9
9ae33a63-6b1a-43bf-9205-463c867bcbc4	6	15
9ba6be6d-2032-444b-ab3c-dbee8023759d	0	1
9c00828e-e9ae-4b9c-959e-34837ee2b230	2	14
9de495d1-55b2-4535-9b0a-a999df35977c	2	10
a08c196e-4f96-4b16-94b4-aa6a0153ac50	12	29
a1e3dc5b-b81f-4890-870c-ed3b8ac36dec	1	2
a284fe9d-9afd-4472-8d70-243ca9be5c2c	4	27
a37a825c-d74e-46cc-92ef-b65016857b4a	6	13
a92023de-5c97-4bf2-aa3c-0e768d7c5ece	2	17
abe290ed-67c8-42bb-84f7-0d32a5f8f3db	2	15
ad4aa4dc-bea4-4f4a-8b1b-8f361112f84f	4	8
b02b4bba-6e66-44fb-a48f-38c309aaaac5	2	7
b53dcb4d-f894-47b8-8a4e-17c7998d8120	7	24
b757a040-3c9e-45e7-a045-9cd08db11d62	2	3
b8f3137e-5e92-4a56-90d4-884a4ed2ef9c	4	12
b9bcba3a-c9be-4305-b5f4-c861282921e0	7	17
bb5bedd3-d8fc-4739-8e6b-9e37223f8be2	2	0
c971ffa7-ce37-4138-b028-598a30478e25	1	4
cb753e6f-5ea3-4b58-9db3-7a62d15c8b2e	1	18
ce799e7b-30e7-44a5-a185-3e50d5e059ef	1	3
d1842491-29ff-4801-8c8a-4d619f749dd1	1	7
d4cf11be-3bd7-403b-9722-91d8e8761e4d	4	12
d707940e-0f9d-4da3-9380-90a422e44efd	5	48
da910f22-126e-41dc-be6b-47c8f69ad106	1	19
dd7d623b-b9af-4147-9aa6-e09793691f10	1	5
de581588-be15-4bf4-95d1-aa5478b53ab6	3	16
ded8b673-53df-4038-a375-7cd0fd2a1b9f	1	10
dfde4013-9062-42f5-a42b-626ef8334a41	3	7
e6617246-f527-4c90-9331-d47a9087ecd3	0	1
e93b0979-65ef-4883-9b6e-39eb17966e66	1	8
ec474dfa-527c-44f3-9224-bf1c858cabfc	3	10
f2e639cc-c30c-459f-8afc-7ace7d0209c5	2	9
f48c3c82-bebe-4b8e-909e-e1a51a7142ec	3	10
fab0be4b-c84a-45cd-a76f-44d9a8bf1846	4	9
