TYPE	NHEJ	MMEJ
052665d1-ab75-4f40-be5a-b88154c8beed	4	13
0664753b-7566-41e0-8006-7009c6735406	1	2
0ae2193f-0d68-485a-b8c2-7568cbcce33e	4	0
127b0f7d-d24e-48b7-ac25-d3f14a43952d	14	52
1292e13b-d7c6-447b-a227-9a8113215580	22	230
129de5b2-d9b0-4762-9ef8-72d98231fb50	2	23
14ed7388-41ed-43d4-afb2-04cd6410d5d2	2	8
16df7888-2480-4394-8856-d57a6ef371d2	3	2
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	2	3
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	2	4
1dc9e7fd-fc62-4b32-9619-4e02a266a385	15	123
2f2eaecc-6509-423f-b63a-8c3bea1ba4a4	0	22
3a5eaed6-fcfd-437a-b61c-fd3725c64717	8	22
42af8f74-fd4b-486d-bc11-db53cc471d62	12	156
44eebc04-c027-45ae-beca-c4012b494f29	7	7
5533240d-8fed-440d-b781-6092785a77ce	5	11
58faf969-bf37-4180-8807-2f44f2cc8eda	5	112
5cc7c966-499e-49e3-b509-4eeb00ee03d4	19	95
6797443c-eb4a-4654-b957-c0056e5a4206	2	52
8093649a-74d6-4832-9154-8cc0182fa381	9	16
80f02aec-c07a-4bcb-b547-e60f8c33a7b1	11	68
84ca6ab0-9edc-4636-9d27-55cdba334d7d	1	13
8a69f3ca-4e17-4daa-8722-a36316e345ba	12	63
9020b6a5-8325-4b0d-84d9-04371c857910	1	11
95fc38ac-2b36-4c46-abbf-8d2d52ff9626	1	3
9a5bb831-8cb8-4de0-b94b-088cb38def1a	40	187
9f335cd1-2736-41be-a02b-cdbe4017bb3d	5	17
a0bbb3b1-e774-4c75-9301-ba43fb803f20	5	37
a1fc7064-abf5-477d-983e-576a784e1d40	1	19
a2f38e9e-48b2-4463-b2e3-61cc8475257f	5	64
b243adb4-b3e7-4e0e-bc0d-625aa8dbb1be	2	11
ba577913-356c-4488-8f9d-c45778e7b9e1	3	15
bff518fb-6da7-4dfc-ae4c-bd3f641028e2	20	176
c691d6b3-8e70-4951-8551-2ee4e4d0d10b	4	9
d67cad13-e849-48b0-926c-10b6046ba0b9	7	35
e9d98643-01ee-40c3-a617-e004559625cd	0	1
fea5827b-251d-474b-8713-fc76db995fe7	15	85
ff3fe4a3-7d19-4d4d-81b6-aaa41ba5bf39	6	59
