TYPE	NHEJ	MMEJ
097a7d36-905b-72be-e050-11ac0d482c9a	2	6
f393ba16-9361-5df4-e040-11ac0d4844e8	2	1
f393bafe-c99f-3725-e040-11ac0d484514	7	36
f393bb00-888d-710f-e040-11ac0d484518	10	44
f393bb05-53c2-f80a-e040-11ac0d484528	0	3
f393bb05-c737-4cc3-e040-11ac0d48452a	2	1
f393bb05-ec1c-17be-e040-11ac0d48452f	6	9
f393bb08-5b50-e009-e040-11ac0d484537	4	0
f393bb0a-9b20-a0e5-e040-11ac0d48454e	0	3
f393bb0a-df7d-645c-e040-11ac0d484550	2	0
f393bb0b-08ed-3335-e040-11ac0d484554	2	5
f393bb0c-3ffa-cb72-e040-11ac0d48455c	0	3
f393bb0c-4178-ca4a-e040-11ac0d48455f	0	1
f393cfd8-ddbb-a0e1-e040-11ac0d48516b	1	1
fc447d4f-2532-c8ea-e040-11ac0c48469f	6	80
fc447d51-cdc2-a180-e040-11ac0c4846a4	2	6
fc447d53-24d1-c83d-e040-11ac0c4846a6	0	5
fc447d55-95d8-0b34-e040-11ac0d483afa	6	3
fc447d56-0d53-e0c3-e040-11ac0c4846a8	7	40
fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	1	4
fc639186-8302-798e-e040-11ac0c484cec	0	12
fc63cbab-d27a-5ebb-e040-11ac0c48724f	11	56
fc68c24d-47ad-7961-e040-11ac0c48595c	5	26
fc68e599-6a40-61dc-e040-11ac0d48700d	6	4
fc78685a-7053-152a-e040-11ac0c480ded	4	1
fc7eb420-5c13-20bd-e040-11ac0d484574	18	64
fc7f8eeb-9c40-123e-e040-11ac0c484061	1	6
fc806c50-2f6e-418d-e040-11ac0d485f01	2	19
fc813235-5ed8-7695-e040-11ac0d485e3e	8	26
fc8edf46-2005-1af4-e040-11ac0d481414	1	2
fc93b9ab-760a-5223-e040-11ac0c482177	5	9
fc9da5a5-a709-5ea9-e040-11ac0c487cf0	7	61
fc9dbf68-4599-3c64-e040-11ac0d481623	2	4
fc9ef456-75a2-5967-e040-11ac0c484477	0	2
fc9f6916-da31-ab17-e040-11ac0c4808f3	7	29
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1	12	58
fca07e09-1fd2-9ef5-e040-11ac0d485bbd	12	143
fca3f7d0-2231-661c-e040-11ac0c4832fd	3	4
fca6150f-d555-a29e-e040-11ac0d4873b2	1	2
