TYPE	NHEJ	MMEJ
02c6a893-49c5-49d1-8eb1-195021e70d52	1	0
0e6ca8dc-0f31-4675-95b1-5920576daeff	8	16
190eb791-383d-4e27-870d-e470630843e7	5	19
1aff91a6-1b0f-4575-8f4b-4e064a50b886	29	35
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	6	23
21205681-a0c7-48d0-81d4-0b7ef31158cf	2	25
29fc38aa-f367-46a3-a14d-a5f657ad0caa	1	1
3e604a1c-b95f-44ff-9723-e2fac845da3b	9	22
46d35b82-e1b7-4d35-be5e-3a70fd47e421	4	4
5046f1b4-9d95-4841-ba30-691fa44719a2	10	56
5193a482-6ed9-4504-bd7c-c8b9e4103577	16	130
54e78de0-d357-4125-a904-ab35e461572b	8	32
6bbd66dd-efee-4d6e-b02f-f88e98526b82	0	4
7158c9fd-a633-4fef-aa23-bd285f2a87a8	0	2
7e584ff6-0b81-4f85-81da-b8117afee326	6	9
81598359-24d5-4a8b-a6e6-7a6f94289119	0	1
8294a969-59a1-4d3b-895b-f07e96bf9f7a	1	14
83eca7b5-45bb-44c0-8afe-36f8988d0078	1	0
878a7fe7-20ff-4651-9587-b4d6fd42e929	7	9
9988eb07-01f6-4f83-8699-bb63e0525f08	7	18
a0fe80e0-e3ac-485b-8a1a-4c80c101b874	3	12
a315b798-f037-48d5-91ed-e733e3bbd6ee	4	16
a8041e86-071e-46cd-8fb5-7ecdc1ab0553	2	8
ab923db7-54e8-4a50-b7fd-c2b4b300041e	2	6
b537bc07-9998-49f4-bbbe-5b617152bfd9	3	1
b86e88e7-0d5f-4b32-a35f-dc97251ab990	2	9
c0812962-a345-48b7-aec0-01336c2d1eed	3	0
c2124bb2-30e1-4093-9a8a-3a188a6dc0a9	3	24
d25a4c65-9cb4-4611-909e-e68f93408d84	4	12
d3709eea-ca2a-49ac-b79c-871a5473d450	1	18
d4b80307-abbd-48bb-b52c-6dcd409699a2	1	8
dd67dec6-35dd-4efe-b913-ed4884855365	1	3
de8ef60b-4dbe-4aa8-adef-6f58cdfada29	3	11
dfa20d2d-1ba3-476a-b4b9-21d21470bee2	2	6
e52ffa79-557a-4024-81f3-f3826c227ec5	12	65
ee963667-56b1-49bd-8896-e07b536d3014	1	4
ef673d3d-2031-4036-ba25-4bc7ef04075b	3	3
feccc27e-5c2e-4339-8746-0945fee93c1e	2	0
